ID	NAME	KR NAME	FACT	EP	TYPE	R	HP	SIZE	LIM	A	D	S	LV	PT	Ability	Flavor	Upgrade
100239	Halloween Helena	할로윈의 헬레나	Darklore	16	Character	EV	30	-	1	-	-	-	1	20	At the start of the turn, if your Character's LIFE is at least 12, all enemy Followers get ATK -1, then the first Follower in your Hand gets ATK +2. If your Character's LIFE is less than 12, you get Shuffles=0. There is an additional hidden effect. (Bonus effect: At the start of turn 1, all Followers in your Deck with "Helena" in the name get STA +1)	[Are these clothes... really God's will...? They're really embarrassing...]	
100240	Sleep Club Sita	수면부 시타	Vita	16	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, enemy Followers whose ATK, DEF, or STA contain the number 1 get STA -4.	[Sita joined the Cook Club because of the rule that each student can only be a member of one club, but she also would have been exceptionally talented in the Sleep Club.]	
100241	Baker Cinia	제과장인 시니아	Academy	16	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets ATK +2/STA +1. A random enemy Follower gets STA -2. If those Followers have the same Slot number, the enemy Follower gets STA +2.	[Huhu, I wonder if these cookies will taste good. Shall I try it?] [Yeah yeah! You're amazing, Cini!] [Master, are these for us, too?] [No.] [Eh?] [Huh?]	
100242	Gardening Maid	가드닝 메이드	Academy	16	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, all allied Followers get ATK +1/STA -1. All enemy Followers get STA -1.	[Walking along the road in the morning, carelessly looking at the flowers. After touching the flowers... I don't remember...]	
100243	Mother Demon	마더데몬	Neutral	16	Character	UC	15	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. The last card in the enemy Deck is sent to the top of the enemy Deck. The following effects are applied depending on the sent card's type. Follower: The sent card gets ATK -1/STA -1. Spell: The sent card gets SIZE +1.	[As I thought, this side is full of taint. I'll have to capture it all.]	
100244	Dispatched Teacher Mother Demon	파견교사 마더데몬	Vita	16	Character	UC	15	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. A random allied Vita Follower gets ATK +1/STA +1. If your Character's LIFE is less or equal to the enemy Character's LIFE, that Follower gets an additional DEF +1/STA +1.	[If you're curious to learn the truth about this world... Hehe... I'm more than happy to teach you about it. However, the fee will be steep.]	
100245	Maid Mother Demon	메이드 마더데몬	Academy	16	Character	UC	15	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. A random allied Academy Follower gets ATK +1/STA +1. If your Character's LIFE is less or equal to the enemy Character's LIFE, a random enemy Follower gets DEF -1/STA -2.	[So this is a mansion from the old times. The master is nowhere to be found. All that remains is an abandoned cat.]	
100246	Knight Mother Demon	기사단의 마더데몬	Crux	16	Character	UC	15	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. A random allied Crux Follower gets ATK +1/STA +1. If your Character's LIFE is less or equal to the enemy Character's LIFE, a random allied Follower gets STA +1 and the enemy Character gets LIFE -1.	[How contradictory. These people don't realize that they themselves have been tainted the most and instead pursue the taint they see in others. I wonder how ludicrous it will get... hehe.]	
100247	GS Agent Mother Demon	GS 첩보원 마더데몬	Darklore	16	Character	UC	15	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. A random allied Darklore Follower gets ATK +1/STA +1. If your Character's LIFE is less or equal to the enemy Character's LIFE, a random enemy Follower gets STA -1 and a different enemy Follower gets STA -2.	[These are my glorious spoils. However, it seems like it's too tight for me.]	
100248	Wedding Dress Mother Demon	웨딩드레스의 마더데몬	Neutral	16	Character	R	20	-	1	-	-	-	1	1	At the start of the turn, if the Turn Number is 5 or less, your Character gets LIFE +3. The last card in the enemy Deck is sent to the top of the enemy Deck. The following effects are applied depending on the sent card's type. Follower: The sent card gets ATK -1/STA -1. Spell: The sent card gets SIZE +1.	[Of course, everything must start with small steps. However, vast ripples will be created across this world. How about it? Would you like to witness the end of the world with me?]	
100249	Tea Time Sita	티타임의 시타	Vita	16	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets DEF +1. If that Follower belongs to Vita, it gets ATK +1, DEF +1, or STA +1 (applied twice).	[This tea is very bitter... and these snacks are very sweet... Is it supposed to be like making you sick, then giving you medicine?]	
100250	White Whale Crevasse	백경 크레바스	Neutral	16	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are no Spells on your Field, a card called "White Whale Rush" is created in the first empty Slot in your Field.	[Everyone, listen to my song! My song will reach the ends of the sky!]	
100277	Asmis Ver. Angel	아스미스 Ver.천사	Vita	17	Character	EV	30	-	1	-	-	-	1	50	At the start of the turn, if the Turn Number is 1, all Vita Followers in your Deck get STA +2. If the Turn Number is 2, all Vita Followers in your Deck get ATK +1. If the Turn Number is odd, the bottom Follower in your Grave is sent to the bottom of your Deck. If the Turn Number is even, you get Shuffles =1.	[I feel really warm and nostalgic inside. Look, look, if you close your eyes, you can feel it, too.]	
100278	Linus Ver. Angel	리누스 Ver.천사	Academy	17	Character	EV	30	-	1	-	-	-	1	50	At the start of the turn, if the Turn Number is 1, all Academy Followers in your Deck get STA +2. If the Turn Number is 2, all Academy Followers in your Deck get ATK +1. If the Turn Number is odd, the bottom Follower in your Grave is sent to the bottom of your Deck. If the Turn Number is even, you get Shuffles =1.	[It's different from Muzisitter, but... I like these clothes, too. What do you think? It's like I'm an angel descended from heaven, right?]	
100279	Rose Ver. Angel	로제 Ver.천사	Crux	17	Character	EV	30	-	1	-	-	-	1	50	At the start of the turn, if the Turn Number is 1, all Crux Followers in your Deck get STA +2. If the Turn Number is 2, all Crux Followers in your Deck get ATK +1. If the Turn Number is odd, the bottom Follower in your Grave is sent to the bottom of your Deck. If the Turn Number is even, you get Shuffles =1.	[I feel like I'm the goddess of this world. Stay by my side until the ends of the earth.]	
100280	Helena Ver. Angel	헬레나 Ver.천사	Darklore	17	Character	EV	30	-	1	-	-	-	1	50	At the start of the turn, if the Turn Number is 1, all Darklore Followers in your Deck get STA +2. If the Turn Number is 2, all Darklore Followers in your Deck get ATK +1. If the Turn Number is odd, the bottom Follower in your Grave is sent to the bottom of your Deck. If the Turn Number is even, you get Shuffles =1.	[I don't know if I have the right to wear these clothes. Please accept this as atonement for my sins.]	
100281	Isfeldt Ver. Angel	이스펠트 Ver.천사	Neutral	17	Character	EV	30	-	1	-	-	-	1	50	At the start of the turn, if the Turn Number is 1, all Neutral Followers in your Deck get STA +2. If the Turn Number is 2, all Neutral Followers in your Deck get ATK +1. If the Turn Number is odd, the bottom Follower in your Grave is sent to the bottom of your Deck. If the Turn Number is even, you get Shuffles =1.	[Understand? "Cacao" means "food for the gods". This place is our utopia.]	
110001	Bunny Lady	바니 레이디	Neutral	0	Character	C	20	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets STA +1.	[The Wind Clan hates meaningless fights.]	
110002	Wind Shear	윈드시어	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets STA +1.	[Feel the wind. Concentrate on the petals fluttering in the gentle breeze.]	
110003	Winged Seeker	주익의 탐구자	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, enemy Followers whose Slot number and SIZE are either both odd or both even get ATK -1/STA -1.	[How strange. This place contracts all previous theories and thinkers.]	
110004	Enchantress	인첸트리스	Neutral	0	Character	C	20	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets ATK +1.	[The Myo Clan has decided to stop cooperating with the Flinas! Everything you say is wrong!]	
110005	Trickster	트릭스터	Neutral	0	Character	C	20	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets ATK +1.	[What's wrong? If you feel something is off about this room, you're already too late.]	
110006	Myo Observer	묘족의 관찰자	Neutral	0	Character	C	20	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets ATK +1.	[There, focus, look more closely at the details. The truth can't be seen with just a glance.]	
110007	True Bunny Lady	진 바니 레이디	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, all allied Followers get STA +1.	[The Wind Clan hates meaningless fights.]	
110008	True Wind Shear	진 윈드시어	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, all allied Followers get STA +1.	[Feel the wind. Concentrate on the petals fluttering in the gentle breeze.]	
110009	Wind Breaker	윈드 브레이커	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random enemy Follower gets STA -2.	[Chaos! Destruction! I will destroy everything!]	
110010	Wind Sneaker	윈드 스니커	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random card in your Hand gets SIZE -1.	[Faster and lighter than the wind! I accept our family's speed!]	
110011	Wind Forestier	윈드 포레스티	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random enemy Follower gets STA decreased by half the Turn Number (rounding down).	[I am as fast as the wind, as orderly as the forest, as passionate as fire, and as tough as the mountain. Remember this!]	
110012	True Enchantress	진 인첸트리스	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, all allied Followers get ATK +1.	[The Myo Clan has decided to stop cooperating with the Flinas! Everything you say is wrong!]	
110013	True Trickster	진 트릭스터	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random allied Follower gets SIZE -2.	[What's wrong? If you feel something is off about this room, you're already too late.]	
110014	True Myo Observer	진 묘족의관찰자	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, all allied Followers get ATK +1.	[There, focus, look more closely at the details. The truth can't be seen with just a glance.]	
110015	True Wind Breaker	진 윈드브레이커	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random enemy Follower gets STA -2, then a random enemy Follower gets STA -1.	[Chaos! Destruction! I will destroy everything!]	
110016	True Wind Sneaker	진 윈드 스니커	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, two random cards in your Hand get SIZE -1.	[Faster and lighter than the wind! I accept our family's speed!]	
110017	True Wind Forestier	진 윈드포레스티	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK/STA decreased by half the Turn Number (rounding down).	[I am as fast as the wind, as orderly as the forest, as passionate as fire, and as tough as the mountain. Remember this!]	
110018	Doppelganger Sita	도플갱어 시타	Vita	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, enemy Followers in Slots 1, 2, and 3 get STA -1.	[It's just like the reflection off a mirror, but something is different. It speaks in the same voice, but it gives off the ill air of someone mimicking someone else. -Esprit's memo...]	
110019	Doppelganger Cinia	도플갱어 시니아	Academy	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK -1/STA -1.	[It's just like the reflection off a mirror, but something is different. It speaks in the same voice, but it gives off the ill air of someone mimicking someone else. -Esprit's memo...]	
110020	Doppelganger Luthica	도플갱어 루티카	Crux	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, a random allied Crux Follower gets ATK +1/STA +1.	[It's just like the reflection off a mirror, but something is different. It speaks in the same voice, but it gives off the ill air of someone mimicking someone else. -Esprit's memo...]	
110021	Doppelganger Iri	도플갱어 아이리	Darklore	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, if your Field SIZE is greater than the enemy Field SIZE, the enemy Character gets LIFE -1.	[It's just like the reflection off a mirror, but something is different. It speaks in the same voice, but it gives off the ill air of someone mimicking someone else. -Esprit's memo...]	
110022	Wind Gambler	윈드 갬블러	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, if your Character's LIFE is odd, you get LIFE -1. If it is even, you get LIFE +2.	[This is a simple game. You just need to guess if the dice lands on odd or even. Easy, right?]	
110023	Wind Girl	윈드 걸	Neutral	0	Character	C	30	-	0	-	-	-	1	1	At the start of the turn, your Character gets LIFE +1.	[You have to eat and grow up properly!]	
110024	Night Witch Nytitch	밤의마녀 나이티치	Darklore	2	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, your Character gets LIFE -1 and the enemy Character gets LIFE -2.	[Everyone receives the same amount of time. The night is fair. Won't you spend some time with me? It's lonely to play by myself.]	
110025	Night Witch Laetitia Ful	밤의마녀 레티샤 플	Darklore	2	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random Spell in the enemy Hand gets SIZE +2.	[I don't understand this book no matter how much I read it. I don't know if I'm stupid or if this book is stupid.]	
110026	Night Witch Magy Shen	밤의마녀 마기 셴	Darklore	2	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, two random allied Darklore Followers get ATK +1/STA +1.	[I really don't know. No matter how much I try to read our destiny, I can't see it. This is unsettling. What will happen tomorrow...]	
110027	Night Witch Seriot	밤의마녀 세리오트	Darklore	2	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random Spell in the enemy Hand is sent to the Grave.	[I'm the fastest on the highway of the night. Even the magical Hairpin Course can't block my drift.]	
110028	Succubus Cantabile	서큐버스 칸타빌레	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get DEF -1.	[Like a song, I will give you joy in your dreams. You don't need to pay me for anything. I already get a lot from your dreams.]	
110029	True Nytitch	진 나이티치	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, your Character gets LIFE +1 and the enemy Character gets LIFE -1.	[Everyone receives the same amount of time. The night is fair. Won't you spend some time with me? It's lonely to play by myself.]	
110030	True Laetitia Ful	진 레티샤 플	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random Spell in the enemy Hand is sent to the enemy Field and deactivated.	[I don't understand this book no matter how much I read it. I don't know if I'm stupid or if this book is stupid.]	
110031	True Magy Shen	진 마기 셴	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random allied Darklore Followers get ATK +1/DEF +1/STA +1.	[I really don't know. No matter how much I try to read our destiny, I can't see it. This is unsettling. What will happen tomorrow...]	
110032	True Seriot	진 세리오트	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, all Spells in the enemy Hand are sent to the Grave.	[I'm the fastest on the highway of the night. Even the magical Hairpin Course can't block my drift.]	
110033	R. Cantabile	R.칸타빌레	Darklore	2	Character	UC	50	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get DEF -2.	[Like a song, I will give you joy in your dreams. You don't need to pay me for anything. I already get a lot from your dreams.]	
110034	Shadow Trickster Shion	쉐도우트릭스터 시온	Darklore	2	Character	R	40	-	0	-	-	-	1	1	At the start of the turn, a random Spell in your Grave is sent to the bottom of your Deck. A Follower called "Scardel Shion Flina" is placed in the first empty Slot of your Field and gets SIZE -2.	[It's not unreasonable that Rion likes you. I'm interested in people like you, too. Do you want to serve me tonight? Don't you think the chance to serve me is enough of a reward in itself?]	
110035	Shadow Trickster Rion	쉐도우트릭스터 리온	Darklore	2	Character	R	40	-	0	-	-	-	1	1	At the start of the turn, a random Spell in your Grave is sent to the bottom of your Deck. A Follower called "Scardel Rion Flina" is placed in the first empty Slot of your Field and gets SIZE -2.	[How is it? Isn't it interesting? I wanted to show Shion something fun, but unfortunately, I don't have enough materials. Ah, of course! You! Won't you be our plaything?]	
110036	Doppelganger Vernika	도플갱어 베르니카	Vita	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, the first enemy Follower with the highest DEF gets DEF =0.	[Who is it? The brats that played this horrible joke?] [Oh my~ how scary. This is the amusement park that we built ourselves. It's fun for us if you're already like this~]	
110037	Doppelganger Rose	도플갱어 로제	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets ATK/STA decreased by half of the difference between its SIZE and DEF (rounding up).	[I don't have any plan to play with you kids. Why don't you accept my proposal? Stop this now. Rio is already suffering.] [Rio? Who's that? Ah~ the lady with the huge chest?]	
110038	Shadow Nold	쉐도우 놀드	Academy	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random card in your Field gets SIZE -1 (to a minimum of 1).	[We secretly showed that lady this mirror, but we never thought she'd get so depressed~] [This is a mirror that shows the past? Tch... This is a pointless trick.]	
110039	Shadow Cannelle	쉐도우 카넬	Neutral	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, cards in your Field with the lowest SIZE get ATK/STA increased by the difference between the lowest SIZE in your Field and the highest SIZE in the enemy Field.	[Sister Sage, what do you do for fun? I think your preferences must be the same as a little girl since you have short hair and glasses~] [.. It looks like I'll have to do more than just stop you.]	
110040	Shadow Gart	쉐도우 갓트	Vita	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower that does not belong to this Character's faction gets ATK -2/DEF -2/STA -2.	[Do you know how girls like you turn out when you're older?] [We're already 200.] [Sorry...]	
110041	Shadow Ginger	쉐도우 진저	Neutral	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, allied Followers with a SIZE equal to or greater than the number of allied cards get ATK +1/STA +1.	[You little brats! Stay right there! I'm coming to beat you two up!] [Bo~ring~] [Don't you have something more creative, sister Sage? It's so~~~~~oo stale. You have to come up with a more creative joke!]	
110042	Shadow Laevateinn	쉐도우 레바틴	Darklore	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, if there are two cards in your Hand with the same SIZE, your Character gets LIFE increased by half of their SIZE (rounding up).	[The game is over. You're going to pay for your sins now.] [Ahhhh..!! Sister Sage is scary...] [My name is Esprit...]	
110043	True Wind Gambler	진 윈드갬블러	Neutral	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, if your Character's LIFE is odd, you get LIFE -1. If it is even, you get LIFE +3.	[This is a simple game. You just need to guess if the dice lands on odd or even. Easy, right?]	
110044	True Wind Girl	진 윈드걸	Neutral	2	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, your Character gets LIFE +2.	[You have to eat and grow up properly!]	
110045	Beginning Instructor Pipin	초급교관 피핀	Crux	3	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets ATK +2/STA +1.	[The start is always the most important part! It's forbidden to relax just because it's the beginning!]	
110046	Beginning Instructor Rena	초급교관 레나	Crux	3	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gains gets ATK +1/STA +2.	[It's not difficult. I am just telling you how to protect people.]	
110047	New Paramedic Lina	신입군의관 리나	Crux	3	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, two random allied Followers get STA increased by the number of empty Slots in the enemy Hand.	[Everyone is like this. You will fail at first, but you will learn from it.]	
110048	Scribe Cecilia	서기원 세실리아	Crux	3	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get ATK -1.	[You should mind your manners in an official position. Even the most trivial comments will be recorded.]	
110049	Swordswoman Karen	검술가 카렌	Crux	3	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets STA decreased by the SIZE of the first allied Follower.	[All warriors want a good weapon. It seems like Sergeant Pintail doesn't know that she's in a slump.]	
110050	Tactician Ellie	전술가 엘리	Crux	3	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random Follower in the enemy Hand is sent to the bottom of your Deck.	[The fighting power of Crux is concentrated in the knights. It wouldn't be a good choice to divide the military in a situation like this.]	
110051	Superior Officer Marianne	상급기사 마리안	Crux	3	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a number of random enemy Followers equal to half the number of cards in the enemy Hand belonging to a different faction than the enemy Character (rounding up) are sent to the Grave.	[Attention! 100 laps around the training grounds now! Anyone dissatisfied must defeat me before getting the right to speak out!]	
110052	Instructor Pipin	교관 피핀	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random allied Followers get ATK +2/STA +1.	[The start is always the most important part! It's forbidden to relax just because it's the beginning!]	
110053	Instructor Rena	교관 레나	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random allied Followers get ATK +1/STA +2.	[Nothing is difficult. I am just telling you how to protect people.]	
110054	Paramedic Lina	군의관 리나	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, all allied Followers get STA increased by the number of cards in your Hand.	[Everyone is like this. You will fail at first, but you will learn from it.]	
110055	Top Scribe Cecilia	수서기 세실리아	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get SIZE +1/ATK -1.	[You should mind your manners in an official position. Even the most trivial comments will be recorded.]	
110056	Swordmaster Karen	검의달인 카렌	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets STA decreased by the Atk of the first allied Follower.	[All warriors want a good weapon. It seems like Sergeant Pintail doesn't know that she's in a slump.]	
110057	Expert Tactician Ellie	전술전문가 엘리	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random Follower in the enemy Hand is sent to the first empty Slot of the enemy Field, gets ATK -1/STA -1, and is deactivated.	[The fighting power of Crux is concentrated in the knights. It wouldn't be a good choice to divide the military in a situation like this.]	
110058	General Marianne	장군 마리안	Crux	3	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random Follower is moved from your Deck to the first empty Slot of your Field and gets ATK +1/DEF +1/STA +1.	[Attention! 100 laps around the training grounds now! Anyone dissatisfied must defeat me before getting the right to speak out!]	
110059	New Knight	신입기사단원	Crux	EX1	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets ATK -1/STA -1.	[Resting is also an extension of our duties. It's important to do our best in everything, isn't it? Senpai.]	
110060	Chief Maid	치프메이드	Academy	EX1	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets ATK +2.	[As I thought, I needed a break. I need more vacation days in the future.]	
110061	Frett	프렛	Crux	EX1	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, all allied Followers with a SIZE of 3 get ATK +1/STA +1.	[How about bamboo as a material for a new flagpole? If it's processed well, it will be lighter and stronger.]	
110062	Mop Maid	몹메이드	Academy	EX1	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, all allied Followers with a neighboring Follower get ATK +2.	[I need materials for a new mop. Right now, the equipment is too heavy. It needs to be lighter...]	
110063	Layna Scentriver	레이나 센트리버	Vita	EX1	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, all allied Followers get STA increased by the number of cards in your Hand.	[Are you surprised because I'm different than normal? I need a place to ease my mind, too.]	
110064	Accident Maid	액시던트 메이드	Academy	4	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random allied or enemy Follower gets STA -3 (50% chance).	[I broke a teacup today, too. Master Linia always laughs about it, but it makes me nervous.]	
110065	Kitchen Maid	키친 메이드	Academy	4	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets SIZE +1/ATK +1/DEF +1/STA +2.	[Master Linia doesn't really care about what she eats. Even so, that attitude makes us work even harder.]	
110066	Cleaning Maid	클리닝 메이드	Academy	4	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, the first card in the enemy Hand is moved to the first empty Slot of your Field or the enemy Field (50% chance).	[Master Linia scolds us if we don't clean something. However, she gets even madder if we touch her things. Sometimes I don't even know what I should do.]	
110067	Tea Time Maid	티타임 메이드	Academy	4	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, either your Character gets LIFE -1 or the enemy Character gets LIFE -2 (50% chance).	[Is something wrong? We should at least be able to drink tea during our break time, right?]	
110068	Linia's Head Maid	리니아가 메이드장	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random card from either your Field or the enemy Field is sent to the bottom of the owner's Deck (50% chance).	[The most important thing here is to not make Master Linia angry.]	
110069	Disaster Maid	사고뭉치 메이드	Academy	4	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random allied or enemy Follower gets STA -5 (50% chance).	[I broke a teacup today, too. Master Linia called me out separately, and I...]	
110070	Master Kitchen Maid	주방의 메이드	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets ATK +1/DEF +1/STA +2.	[Usually, it's just the maids that eat what we make. Sometimes Master Linia comes to have something, and it makes me happy to receive her awkward compliments.]	
110071	Master Cleaning Maid	청소담당 메이드	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, the first two cards in the enemy Hand are moved to the first empty Slots of your Field or the enemy Field (50% chance).	[I understand now. I just have to make it look like I didn't touch anything when I clean.]	
110072	Tea Maid	홍차의 메이드	Academy	4	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, either your Character gets LIFE -1 or the enemy Character gets LIFE -3 (50% chance).	[Sorry... This is Master Linia's...]	
110073	Head Maid Rise	메이드장 리세	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random card on your Field or the enemy Field is destroyed.	[W, who touched Master Linia's teacup?]	
110074	R. Chief Maid	R.치프메이드	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets ATK +3.	[Linia's maids are all so carefree. I would like to be sent there, too.]	
110075	R. Mop Maid	R.몹메이드	Academy	4	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random allied Follower gets ATK +2/STA +2.	[But wiping that place by hand... is scary...]	
110076	Scardel Merlot	스카델 메를로	Darklore	5	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets STA -2.	[We won't lose our land!]	
110077	Scardel Chardonnay	스카델 샤도네이	Darklore	5	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, your Character gets LIFE +2.	[I won't let you pass!]	
110078	Scardel Sangiovese	스카델 산조베제	Darklore	5	Character	UC	20	-	0	-	-	-	1	3	At the start of the turn, a random card in your Hand gets SIZE -1.	[You must leave. We can't easily abandon a place we've grown so fond of.]	
110079	Scardel Viognier	스카델 비오니에	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get DEF -1.	[Crux's power was greater than expected. Regardless, no matter what they do, it will be difficult to steal from us.]	
110080	Scardel Shiraz	스카델 시라즈	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random Spell in the enemy Hand gets SIZE +2.	[There is nothing to do but to fight in order to protect ourselves.]	
110081	Scardel Pinot Noir	스카델 피노누아	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets STA decreased by the SIZE of the first allied Follower.	[I'm taking a break. Why don't you rest for a bit? This is the blood from a Crux human I just fought.]	
110082	Moonlight Vampire	월야의 흡혈귀	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets ATK/STA decreased by half of the difference between its SIZE and DEF (rounding up).	[See this... The world of the night is filled with the corrupted.]	
110083	R. Scardel Merlot	R.스카델 메를로	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, a random enemy Follower gets STA -2, then a random enemy Follower gets STA -1.	[Step back! Your goddess cannot step into the night.]	
110084	R. Scardel Chardonnay	R.스카델 샤도네이	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, your Character gets LIFE +1 and the enemy Character gets LIFE -1.	[Your goddess cannot pass here. Your light is too bright, so disappear.]	
110085	R. Scardel Sangiovese	R.스카델 산조베제	Darklore	5	Character	UC	30	-	0	-	-	-	1	3	At the start of the turn, two random cards in your Hand get SIZE -1.	[The Crux knights are here! I'm leaving!]	
110086	R. Scardel Viognier	R.스카델 비오니에	Darklore	5	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, two random enemy Followers get SIZE +1/ATK -1.	[We're going to lose. I'm leaving.]	
110087	R. Scardel Shiraz	R.스카델 시라즈	Darklore	5	Character	UC	40	-	0	-	-	-	1	3	At the start of the turn, a random Follower in the enemy Hand is sent to the bottom of your Deck.	[I will fight until the end. If you're going to leave, then leave now.]	
